features
GICSInd__402010.0
GICSInd__402020.0
GICSInd__402030.0
GICSInd__402040.0
GICSInd__403010.0
GICSInd__451020.0
GICSInd__451030.0
GICSInd__452010.0
GICSInd__452020.0
GICSInd__452030.0
GICSInd__453010.0
GICSInd__501010.0
GICSInd__501020.0
GICSInd__502010.0
GICSInd__502020.0
GICSInd__502030.0
GICSInd__551010.0
GICSInd__551020.0
GICSInd__551030.0
GICSInd__551040.0
GICSInd__551050.0
GICSInd__601010.0
GICSInd__601025.0
GICSInd__601030.0
GICSInd__601040.0
GICSInd__601050.0
GICSInd__601060.0
GICSInd__601070.0
GICSInd__601080.0
GICSInd__602010.0
GICSGroup__1010.0
GICSGroup__1510.0
GICSGroup__2010.0
GICSGroup__2020.0
GICSGroup__2030.0
GICSGroup__2510.0
GICSGroup__2520.0
GICSGroup__2530.0
GICSGroup__2550.0
GICSGroup__3010.0
GICSGroup__3020.0
GICSGroup__3030.0
GICSGroup__3510.0
GICSGroup__3520.0
GICSGroup__4010.0
GICSGroup__4020.0
GICSGroup__4030.0
GICSGroup__4510.0
GICSGroup__4520.0
GICSGroup__4530.0
GICSGroup__5010.0
GICSGroup__5020.0
GICSGroup__5510.0
GICSGroup__6010.0
GICSGroup__6020.0
